id,file_name,mos,light,color,noise,exposure,nature,content_recovery,description
b_1_A,b_1_A.png,4.86667,3.4375,2.9375,3.0625,2.0,2.5625,2.9375,"The image has moderate brightness, low color contrast, obvious noise in the sky and the trees to the left of the house in the foreground and Severe exposure at the front door of the house and the light bulb, presenting a  unnatural appearance."
b_1_B,b_1_B.png,5.08667,2.5625,2.875,3.0625,3.3125,3.125,2.875,"The image has moderate brightness, making the trees behind the house indistinct, visible only as outlines, medium color contrast, slight noise and local exposure on the light bulb, presenting a  unnatural appearance."
b_1_C,b_1_C.png,2.41875,2.8125,2.3125,1.625,2.1875,1.4375,2.0625,"The image has moderate brightness, medium color contrast, severe noise in the sky and trees and Severe exposure notably at the house's front door and on the pillar lights, presenting a  unnatural appearance."
b_1_D,b_1_D.png,5.9,3.5625,3.1875,3.25,2.8125,3.0625,3.3125,"The image has bright brightness with the six trees directly in front appearing clear, medium color contrast, severe noise particularly noticeable in the sky, roof, small trees and local exposure near the light bulb, presenting a  unnatural appearance."
b_1_E,b_1_E.png,4.89333,3.1875,3.1875,2.9375,2.4375,2.875,3.1875,"The image has bright brightness, high color contrast, severe noise in the sky and trees in front of the house and local exposure on the lights at the house's front door and on the pillars, presenting a  unnatural appearance."
b_1_F,b_1_F.png,1.75333,1.9375,2.0625,2.5625,1.4375,1.5,1.75,"The image has dim brightness, medium color contrast, severe noise in the sky and the six trees in front of the house and Severe exposure in the living room and second-floor areas of the house, presenting a  unnatural appearance."
b_1_G,b_1_G.png,2.38125,2.875,2.4375,2.4375,1.3125,2.0,2.0,"The image has moderate brightness, medium color contrast, severe noise in the sky and the three trees to the left of the house and Severe exposureon the pillar and right-side lights, and in the living room, presenting a  unnatural appearance."
b_1_H,b_1_H.png,3.66875,3.125,2.625,3.0,1.625,2.5,2.5,"The image has moderate brightness, medium color contrast with rich but unnatural colors, severe noise in the sky and trees in front of the house and local exposure on the light fixtures, presenting a  unnatural appearance."
b_1_I,b_1_I.png,5.32,3.125,3.0,2.375,3.625,2.9375,3.375,"The image has moderate brightness, high color contrast with rich and harmonious colors, severe noise in the sky and well-controlled exposure on the lights on the pillars, presenting a  natural appearance."
b_1_J,b_1_J.png,5.62,2.5,3.1875,3.8125,3.75,3.4375,3.3125,"The image has dim brightness, making the roof of the house and the trees in the background indistinct medium color contrast, obvious noise and well-controlled exposure on the pillar, presenting a  natural appearance."
b_2_A,b_2_A.png,1.88,2.75,2.1875,2.625,1.6875,1.875,1.8125,"The image has moderate brightness with very dark lower half with indiscernible details, low color contrast, obvious noise on the building to the right and Severe exposure in the sky, presenting a  unnatural appearance."
b_2_B,b_2_B.png,4.97333,3.1875,3.125,2.75,3.5625,3.0625,3.125,"The image has moderate brightness, medium color contrast, severe noise in the sky and on the right side of the building and local exposure conditions, presenting a  unnatural appearance."
